title,size,color,rating,review_text
Love These Boots!,8.5 Wide,Black2,5.0,"I love the look and the quality of these boots!
Although I am an almost size 8, they run small on me when I got size 8 (the toes touched closely the front of the booth, bothering my toes), so I returned and re-purchased a size 8 1/2 Wide.
I will also be putting in orthopaedic insoles and I got them in Wide Width.

What sold me the most is the solid quality of the soles, the quality of the fabrics, the waterproof feature, and the cuteness, overall. 💜! They look like they're going to last forever.

I had my eye on these boots from the time I first saw them, at $62/pair before tax. The price kept going up, even up to $75/pair before tax, at some point. Then back down again and fluctuating.
I kept checking and got them the day they went on sale for $40 before tax. The best $40+ ever spent on shoes!"
"Just Received, May Need to Up A 1/2 Size",8 Wide,Black2,4.0,"Just received, ordered an 8W, and normally I have no problems with shoes fitting me - but, I could keep and deal with my big toe hitting the front, but may have to return for an 8.5. Other than that, they seem super comfy, I like how you can slip on, no zipper to fuss with, just laces. The soles seem decent, we shall see when we test them on ice. If I choose to return, I will update this review."
Very comfortable,7,Black5,5.0,"I was nervous about ordering boots from the internet, I am very picky, but these did not disappoint. I wear a 7 and ordered a 7 , they fit great, although I thought the fur went all the way into the boot, it does not. But it is polar fleece and therefore still very warm, and surprisingly comfortable. I love wearing them , definitely gonna purchase again."
very cute,7.5 Wide,Gray-cam,4.0,"This is so cute, the inside feels cozy. I bought the 7 wide. Unfortunately, it is just a tad too tight with (regular thickness) socks on. I missed the window to return it and exchange for a different size. I'm going to try to stretch it out with a shoe horn. If you have very wide feet like me, I'd suggest getting a half size up. I haven't worn it outside since we haven't had snow like that yet, so I can't speak about the water resistance level. If I can't get it to stretch, I'll have to donate it."
WARM!,8.5 Wide,Black-cam,5.0,"I got these in a size too large for myself, so i gave them to my daughter and got myself the right size. Wide width feet are safe in your regular size! My ankles do get tired if driving a long time while wearing them, but I have large calves and no slope to my Achilles, so it's nothing new. Love these and so does she!"
"Good value, good looks",8 Wide,Black2,4.0,"The boots are a good height and a bit rustic looking but they ARE for bad weather. The faux fur seems thick enough and the soles have good texture and will probably provide the kind of traction I need to prevent falls. (I’m a senior). Also they come in shoe widths to allow for bunions.

Not used for snow yet but if I see problems, will update."
Loving these boots!,10.5,Black3,5.0,"There is enough room for my orthotic inserts and the furry insert on top of them. I wasn’t sure about the laces not going up to the top but I think that is what makes these so comfortable. I’ve had good traction in the snow, even where it is covering ice. I’m wearing them with footies until I can find acceptable boot socks and my feet stay warm."
Really good boots!,7,Black5,5.0,"These fit well, look nice and they keep my feet warm! I used them the other day standing in 6 inches of snow and about 15 degrees all day. My feet stayed warm and dry! They also arrived super fast!!"
Very Comfy,7.5 Wide,Black1,5.0,I bought this shoes for my mom cause it’s snowing in Vermont an she mention it’s the best snow shoes ! Very comfortable and never slippery ! Highly recommend if your going on a day to day job in snow.
Fully lined,6.5,Black2,5.0,"They've held up to the rain, mud and snow so far. I work in a detail shop so the floor is always covered in water and my feet stay dry and warm unless the water comes over the top of the boots."
Adorable!,8,White3,5.0,"I’ve ordered 2 pair from Nordstroms, 2 from Zappos and 1 from Lands End. None of them fit as well or looked as cute as this pair! I have feet that run a bit narrower than a medium width. With socks on, these are perfect. I ordered my normal length. Can’t wait for it to snow!"
Absolutely love these,9 Wide,Gray-cam,5.0,Other than the fact that they did not actually tape the shoebox closed I’m glad the boots made it without the box being opened because it was not taped closed at all but the boots are absolutely amazing. Super soft fit very well.
Super warm!,8.5,Black2,5.0,"I love these boots, the interior is so soft and warm, I can have my feet buried in the snow and not fell cold at all. I am an 8 American but got them in a 8½ to use thicker socks and they feel perfect. 100% recommend"
"Super cute, keep feet dry, but wear extra socks!",7.5,Black2,4.0,"True to size and super cute yet do the job when hiking or in the snow! But they don’t have any arch support and the back of the upper heal can rub, even with socks on so I throw in some insoles and wear extra thick socks and an extra pair underneath and they’re great! Super affordable and again really cute 😍"
Great boots,7.5 Wide,Gray-cam,5.0,I bought them a half size too big so I can wear heavy socks. They are warm and comfortable.
